Story,Sprint,Assigned,Priority,Points,Actual time,State
mitosheet.sheet call with no params,MyBinder,,Medium,1 (4 hours),,complete
mitosheet.sheet with a single data frame,MyBinder,Aaron Diamond-Reivich,High,3 (16 hours),12 hours,complete
import csv to empty dataframe,,,Medium,1 (4 hours),,Sprint
Creating new Column,MyBinder,Nate Rush,Medium,2 (8 hours),,complete
Editing a column,MyBinder,Nate Rush,High,3 (16 hours),12 hours (to implement),complete
Formula bar,MyBinder,Aaron Diamond-Reivich,Low,1 (4 hours),,complete
Logging infrastructure,MyBinder,Nate Rush,High,2 (8 hours),4 hours,complete
Logging dashboard,MyBinder,Jake DR,Low,2 (8 hours),,complete
Manual testing,MyBinder,,High,2 (8 hours),".5 hrs to set up infrastructure
? to write tests",complete
Determine Automatic testing Infrastructure,MyBinder,Nate Rush,Medium,2 (8 hours),2 hours,complete
MyBinder deployment,MyBinder,Nate Rush,Low,2 (8 hours),,complete
Investigate Automatic Widget Testing,Sprint 2 Formulas,Aaron Diamond-Reivich,High,2 (8 hours),10 hours,complete
Add Widget Interaction Tests,Sprint 2 Formulas,,Low,3 (16 hours),,Sprint
Fuzz Test the Backend,,,Low,3 (16 hours),,backlog
Investigate Formula Parser Implementations,Sprint 2 Formulas,Nate Rush,High,3 (16 hours),8 Hours,complete
Implement the Formula Parser,Sprint 2 Formulas,Nate Rush,High,3 (16 hours),8 hours,complete
Implement formulas,Sprint 2 Formulas,"Nate Rush, Aaron Diamond-Reivich",Medium,3 (16 hours),,complete
Implement operators,Sprint 2 Formulas,Nate Rush,Medium,2 (8 hours),2 hours,complete
Implement Export to CSV,,,Low,1 (4 hours),,Sprint
Implement Automatic Testing for Version Compatability,,,,,,
Reevaluate deployment mechanisms,Sprint 2 Formulas,Nate Rush,High,3 (16 hours),4 hours,complete
Implement deployment mechanism,Sprint 2 Formulas,"Aaron Diamond-Reivich, Nate Rush",High,?,,complete
Implement Mixpanel Dashboards,Sprint 2 Formulas,Jake DR,Low,2 (8 hours),,complete
,,,,,,
Jake's Logging Additions,Sprint 2 Formulas,"Jake DR, Nate Rush",,1 (4 hours),,complete
"Update UI ",Sprint 2 Formulas,Aaron Diamond-Reivich,High,1 (4 hours),1 hour,complete
Make basic formula parsing more robust,Sprint 2 Formulas,Nate Rush,High,1 (4 hours),.5 hours,complete
"Create marketing goals ",Sprint 3 Wild,Jake DR,High,1 (4 hours),1 hour (we did as a group),complete
Users should have accounts on JupyterHub,Sprint 3 Wild,"Nate Rush, Aaron Diamond-Reivich",Low,1 (4 hours),0-1? This was part of other stories.,complete
JupyterHub instance should be hosted at a subdomain of tryMito,Sprint 3 Wild,"Nate Rush, Aaron Diamond-Reivich",Medium,2 (8 hours),1 hr (not including logs),complete
Create Marketing Plan,Sprint 3 Wild,Jake DR,Medium,2 (8 hours),10 hours,complete
"Spreadsheet formulas should persist throughout the same analysis. ",Sprint 3 Wild,Nate Rush,Low,3 (16 hours),6 hours,complete
"Send visual update to the waiting list ",Sprint 3 Wild,,Low,2 (8 hours),,Sprint
"Add error messages for all errors we currently support. ",Sprint 3 Wild,,Medium,1 (4 hours),3 hours,complete
"Test run referal link ",Sprint 3 Wild,,Medium,1 (4 hours),3 hours,complete
Export CSV,Sprint 3 Wild,Nate Rush,Low,.5 (2 hours),15 minutes,complete
Import CSV,,,Low,3 (16 hours),,Sprint
Make flow report in Mixpanel,Sprint 2 Formulas,Jake DR,,,,complete
Formula composition tests,Sprint 3 Wild,Nate Rush,Low,3 (16 hours),3 hours,complete
Update sheet data through grid-api in the proper way,,,,,,backlog
Create a Github Action for linting mito,Sprint 2 Formulas,,,,,Sprint
Support named dataframes other than df,Sprint 3 Wild,Nate Rush,Low,1 (4 hours),10 minutes,complete
Support for non-alphabetic column names,Sprint 3 Wild,Nate Rush,Low,1 (4 hours),2.5 hours,complete
mitosheet.sheet call with no params,,,Medium,2 (8 hours),,Sprint
"Error message popup looks nicer + tells you more. ",Sprint 3 Wild,Nate Rush,High,2 (8 hours),~2 hours,complete
Do a data analysis on the Mito Survey results,Sprint 3 Wild,,Low,2 (8 hours),,in progress
Analysis redesign ideation,,,Low,2 (8 hours),,Sprint
Written documentation for all the formulas.,Sprint 3 Wild,Nate Rush,Medium,3 (16 hours),2 hours,complete
Update Mito Survey,Sprint 3 Wild,Jake DR,Medium,1 (4 hours),1.5 hours,complete
Turn analysis into function,Sprint 3 Wild,Nate Rush,High,2 (8 hours),30 minutes,complete
Create launch strategy,Sprint 3 Wild,"Nate Rush, Aaron Diamond-Reivich, Jake DR",High,2 (8 hours),12,complete
Formula syntax placeholder Ideation,,,High,2 (8 hours),,Sprint
Create new user testing plan,Sprint 3 Wild,Jake DR,High,3 (16 hours),4,complete
Investigate backups,,,Low,2 (8 hours),,Sprint
Formula syntax placeholder Implementation,,,Low,1 (4 hours),,Sprint
Implement backups,,,Low,2 (8 hours),,Sprint
Use logs to figure out what functions we should include,Sprint 3 Wild,,Medium,1 (4 hours),,Sprint
Cell selection via clicking technical exploration,Sprint 3 Wild,Aaron Diamond-Reivich,High,2 (8 hours),2.5 hours,complete
Cell selection via clicking implementation,Sprint 3 Wild,Aaron Diamond-Reivich,Low,1 (4 hours),16 hours,complete
"Write the first Mito technical blog post ",Sprint 3 Wild,Nate Rush,Low,1 (4 hours),4.5 hours,in progress
Create admin-manual for TheLittlestJupyterHub,Sprint 3 Wild,Nate Rush,High,3 (16 hours),8 hours,complete
"Fix formula parser to handle edge cases ",Sprint 3 Wild,Nate Rush,Low,1 (4 hours),.5 hours,complete
Update Formula Bar CSS,Sprint 3 Wild,Aaron Diamond-Reivich,High,.5 (2 hours),1 hour,complete
CSS + placement of toolbar,Sprint 3 Wild,Aaron Diamond-Reivich,High,.5 (2 hours),4 hours (webpack issues + start & stop due to storage being full),complete
Add Mito Logo to sheet,Sprint 3 Wild,,Low,.5 (2 hours),,Sprint
AWS Class,Sprint 3 Wild,,Medium,2 (8 hours),,in progress
Manual test suite of Mito in a variety of situations (in workbooks).,Sprint 3 Wild,Nate Rush,Low,2 (8 hours),1.5 hours,in progress
In-app help + documentation.,Sprint 3 Wild,Nate Rush,Medium,2 (8 hours),4 hours,complete
Investigate and multiple-use bug,Sprint 3 Wild,,High,3 (16 hours),2 hours,complete
Add ability to pass file name to sheet function,,,Low,2 (8 hours),,backlog
Add logging on buttons,,,Low,.5 (2 hours),,backlog
Send server logs to segment,,,Low,2 (8 hours),,backlog
Popup documentation when writing formulas,,,Low,2 (8 hours),,backlog
Auto-suggest formulas/columns when typing,,,Low,2 (8 hours),,backlog
Standarize error conditions on sheet functions,,,Low,3 (16 hours),,backlog
"Create checklist of what we need to do before live link ",,,Low,,,backlog
Ideation on column identifier,,,Low,1 (4 hours),,backlog
Investigate CSS issue with webpack,,,High,2 (8 hours),,backlog
Fuzzy matching ideation,,,Low,2 (8 hours),,backlog
Display current address next to formula bar,,,Low,.5 (2 hours),,backlog
Redesign toolbar buttons,Go 4 Launch,Aaron Diamond-Reivich,Low,1 (4 hours),2 hours,complete
Add basic examples to documentation,Go 4 Launch,,Low,2 (8 hours),,Sprint
Make formula bar longer,Go 4 Launch,,Low,.5 (2 hours),,Sprint
Error cleanup + UX improvements,Go 4 Launch,Aaron Diamond-Reivich,Low,1 (4 hours),.25 hours,in progress
